Name,Card Type,Attribute
Bujingi Sinyou,Monster Card,LIGHT
Bujingi Wolf,Monster Card,LIGHT
Bujingi Warg,Monster Card,LIGHT
Bujingi Turtle,Monster Card,LIGHT
Bujingi Swallow,Monster Card,LIGHT
Bull Blader,Monster Card,EARTH
Butterspy Protection,Trap Card,Normal Trap Card
Butterflyoke,Trap Card,Normal Trap Card
Buzzsaw Shark,Monster Card,WATER
Butterfly Dagger - Elma,Spell Card,Equip Spell Card
Buten,Monster Card,LIGHT
Buster Whelp of the Destruction Swordsman,Monster Card,LIGHT
Buster Rancher,Spell Card,Equip Spell Card
Byroad Sacrifice,Trap Card,Normal Trap Card
Caligo Claw Crow,Monster Card,DARK
The Calibrator,Monster Card,LIGHT
The Calculator,Monster Card,LIGHT
Caius the Shadow Monarch,Monster Card,DARK
"Calcab, Malebranche of the Burning Abyss",Monster Card,DARK
Caius the Mega Monarch,Monster Card,DARK
"Cairngorgon, Antiluminescent Knight",Monster Card,DARK
Card of Demise,Spell Card,Normal Spell Card
Card Ejector,Monster Card,EARTH
Card Breaker,Monster Card,LIGHT
Card Destruction,Spell Card,Normal Spell Card
Card Blocker,Monster Card,EARTH
Called by the Grave,Spell Card,Quick-Play Spell Card
Card of Fate,Spell Card,Normal Spell Card
Card Guard,Monster Card,DARK
Catoblepas and the Witch of Fate,Monster Card,EARTH
Catnipped Kitty,Monster Card,EARTH
Catch of the Day,,
Catche Eve L2,Monster Card,LIGHT
Catapult Zone,Spell Card,Field Spell Card
Catapult Warrior,Monster Card,EARTH
Catapult Turtle,Monster Card,WATER
Cataclysmic Circumpolar Chilblainia,Monster Card,WATER
Cataclysmic Scorching Sunburner,Monster Card,FIRE
Cataclysmic Cryonic Coldo,Monster Card,WIND
Cataclysmic Crusted Calcifida,Monster Card,EARTH
Cat's Ear Tribe,Monster Card,EARTH
Cat Shark,Monster Card,WATER
Catalyst Field,Spell Card,Field Spell Card
A Cat of Ill Omen,Monster Card,DARK
Castle Walls,Trap Card,Normal Trap Card
Castle of Dark Illusions,Monster Card,DARK
Castle of Dragon Souls,Trap Card,Continuous Trap Card
Castle Link,Spell Card,Field Spell Card
Castle Gate,Monster Card,EARTH
"Castel, the Skyblaster Musketeer",Monster Card,WIND
Carrierroid,Monster Card,WATER
Cash Back,Trap Card,Counter Trap Card
Cloudcastle,Monster Card,WIND
Closed Forest,Spell Card,Field Spell Card
Cloudian - Acid Cloud,Monster Card,WATER
Cloning,Trap Card,Normal Trap Card
Clock Wyvern,Monster Card,WIND
Clock Tower Prison,Spell Card,Field Spell Card
Clock Resonator,Monster Card,EARTH
Clock Spartoi,Monster Card,DARK
Clock Lizard,Monster Card,DARK
Clock Arc,Monster Card,DARK
Cloak and Dagger,Trap Card,Continuous Trap Card
Cliant,Monster Card,LIGHT
Clear World,Spell Card,Field Spell Card
Clear Wing Synchro Dragon,Monster Card,WIND
Clear Wing Fast Dragon,Monster Card,WIND
Clear Vice Dragon,Monster Card,DARK
Clear Kuriboh,Monster Card,LIGHT
Clear Effector,Monster Card,LIGHT
Cloudian - Altus,Monster Card,WATER
Cloudian - Cirrostratus,Monster Card,WATER
Cloudian - Nimbusman,Monster Card,WATER
Cloudian - Eye of the Typhoon,Monster Card,WIND
Cloudian - Ghost Fog,Monster Card,WATER
Cloudian - Poison Cloud,Monster Card,WATER
Coach Captain Bearman,Monster Card,FIRE
Cluster Congester,Monster Card,LIGHT
Cockadoodledoo,Monster Card,WIND
Cocoon Veil,Trap Card,Normal Trap Card
Code Generator,Monster Card,EARTH
Code Talker Inverted,Monster Card,LIGHT
Code Talker,Monster Card,DARK
Code Radiator,Monster Card,WATER
Codebreaker Virus Swordsman,Monster Card,DARK
Codebreaker Zero Day,Monster Card,DARK
Cold Enchanter,Monster Card,WATER
Combination Attack,Spell Card,Quick-Play Spell Card
Command Performance,Trap Card,Normal Trap Card
Comic Hand,Spell Card,Equip Spell Card
Comics Hero King Arthur,Monster Card,EARTH
Command Knight,Monster Card,FIRE
Commander of Swords,Trap Card,Normal Trap Card
"Commander Gottoms, Swordmaster",Monster Card,EARTH
Condemned Witch,Monster Card,DARK
Consolation Prize,Trap Card,Normal Trap Card
Constellar Antares,Monster Card,LIGHT
Constellar Algiedi,Monster Card,LIGHT
Constellar Alrescha,Monster Card,LIGHT
Constellar Aldebaran,Monster Card,LIGHT
Constellar Tempest,Spell Card,Continuous Spell Card
Constellar Star Cradle,Spell Card,Normal Spell Card
Constellar Pleiades,Monster Card,LIGHT
Convert Contact,Spell Card,Normal Spell Card
Crossout Designator,Spell Card,Quick-Play Spell Card
Counselor Lily,Monster Card,EARTH
Cross-Sword Beetle,Monster Card,WIND
Cross-Sheep,Monster Card,EARTH
Cross Over,Spell Card,Normal Spell Card
Cross-Dimensional Duel,Trap Card,Normal Trap Card
Cross Porter,Monster Card,DARK
Cross Counter,Trap Card,Normal Trap Card
Cross Debug,Monster Card,DARK
Cross Breed,Spell Card,Normal Spell Card
Cross Attack,Spell Card,Normal Spell Card
Crimson Sentry,Monster Card,FIRE
Crop Circles,Trap Card,Normal Trap Card
Criosphinx,Monster Card,EARTH
Crimson Sunbird,Monster Card,FIRE
Crimson Resonator,Monster Card,DARK
Crimson Nova Trinity the Dark Cubic Lord,Monster Card,DARK
Crimson Nova the Dark Cubic Lord,Monster Card,DARK
Crimson Ninja,Monster Card,EARTH
Crimson Fire,Trap Card,Counter Trap Card
Crimson Blader,Monster Card,FIRE
Crossrose Dragon,Monster Card,DARK
Crevice Into the Different Dimension,Trap Card,Normal Trap Card
Crimson Knight Vampire Bram,Monster Card,DARK
Crusadia Krawler,Trap Card,Continuous Trap Card
Crusadia Testament,Spell Card,Quick-Play Spell Card
Crusadia Vanguard,Trap Card,Continuous Trap Card
Crystal Promise,Spell Card,Normal Spell Card
Crystal Master,Monster Card,DARK
Crystron Citree,Monster Card,WATER
Crystal Conclave,Trap Card,Continuous Trap Card
Crystal Raigeki,Trap Card,Normal Trap Card
Crystal Pair,Trap Card,Normal Trap Card
Crystron Rion,Monster Card,WATER
Crystron Quariongandrax,Monster Card,WATER
Cubic Rebirth,Trap Card,Normal Trap Card
Cubic Mandala,Trap Card,Continuous Trap Card
Cunning of the Six Samurai,Spell Card,Quick-Play Spell Card
"Curious, the Lightsworn Dominion",Monster Card,LIGHT
Curse Necrofear,Monster Card,DARK
Cubic Wave,Spell Card,Normal Spell Card
Curse of Darkness,Trap Card,Continuous Trap Card
Curse of Anubis,Trap Card,Normal Trap Card
Cyber Angel Idaten,Monster Card,LIGHT
Cyber Angel Vrash,Monster Card,LIGHT
Cyber Angel Izana,Monster Card,LIGHT
Cyber Angel Dakini,Monster Card,LIGHT
Cyber Angel Benten,Monster Card,LIGHT
Cyber Angel Natasha,Monster Card,LIGHT
Cyber Dragon Nachster,Monster Card,LIGHT
Cyber Dragon Nova,Monster Card,LIGHT
Cyber Harpie Lady,Monster Card,WIND
Cyber Gymnast,Monster Card,EARTH
Cyber Jar,Monster Card,DARK
Cyber Eternity Dragon,Monster Card,LIGHT
Cyber Falcon,Monster Card,WIND
Cyber Network,Trap Card,Continuous Trap Card
Cyber Larva,Monster Card,LIGHT
Cyber Laser Dragon,Monster Card,LIGHT
Cyber Revsystem,Spell Card,Normal Spell Card
Cyber Tutubon,Monster Card,EARTH
Cyber Raider,Monster Card,DARK
Cyber Repair Plant,Spell Card,Normal Spell Card
Cyber Valley,Monster Card,LIGHT
Cyber Saurus,Monster Card,EARTH
Cyberdark Claw,Monster Card,DARK
Cyberdark Chimera,Monster Card,DARK
Cyberse Accelerator,Monster Card,LIGHT
Cyberse Clock Dragon,Monster Card,DARK
Cyberse Beacon,Trap Card,Normal Trap Card
Cyberse Synchron,Monster Card,DARK
Cyberse Reminder,Monster Card,LIGHT
Cyberse Integrator,Monster Card,LIGHT
Cyberse Quantum Dragon,Monster Card,DARK
Cyberse Magician,Monster Card,DARK
Cyberse Gadget,Monster Card,LIGHT
Cyberse Enchanter,Monster Card,LIGHT
Cyberse Converter,Monster Card,LIGHT
Cybersal Cyclone,Spell Card,Quick-Play Spell Card
Cybernetic Zone,Spell Card,Quick-Play Spell Card
Cybernetic Revolution (card),Trap Card,Normal Trap Card
Cybernetic Horizon (card),Spell Card,Normal Spell Card
Cybernetic Hidden Technology,Trap Card,Continuous Trap Card
Cybernetic Fusion Support,Spell Card,Quick-Play Spell Card
Cybernetic Magician,Monster Card,LIGHT
Cybernetic Overflow,Trap Card,Normal Trap Card
Cybernetic Cyclopean,Monster Card,EARTH
Cyberload Fusion,Spell Card,Quick-Play Spell Card
Cynet Mining,Spell Card,Normal Spell Card
Cynet Optimization,Spell Card,Continuous Spell Card
Cynet Crosswipe,Spell Card,Quick-Play Spell Card
Cynet Conflict,Trap Card,Counter Trap Card
Cynet Fusion,Spell Card,Normal Spell Card
D.D. Assailant,Monster Card,EARTH
D.D. Assault Carrier,Monster Card,DARK
D.D. Borderline,Spell Card,Continuous Spell Card
D.D. Warrior,Monster Card,EARTH
D.D. Unicorn Knight,Monster Card,LIGHT
D.D. Trap Hole,Trap Card,Normal Trap Card
D/D Ghost,Monster Card,DARK
D/D Evil,Monster Card,DARK
D/D Dog,Monster Card,DARK
D/D Lilith,Monster Card,DARK
D/D Swirl Slime,Monster Card,DARK
Dark Crusader,Monster Card,DARK
Dark Cure,Trap Card,Continuous Trap Card
The Dark Creator,Monster Card,DARK
Dark Core,Spell Card,Normal Spell Card
Dark Deal,Trap Card,Normal Trap Card
Dark Contract with the Yamimakai,Spell Card,Continuous Spell Card
Dark Contract with the Witch,Trap Card,Continuous Trap Card
Dark Contract with the Swamp King,Spell Card,Continuous Spell Card
Dark Contract with the Gate,Spell Card,Continuous Spell Card
Dark Contract with the Eternal Darkness,Trap Card,Continuous Trap Card
Dark Contract with the Entities,Spell Card,Continuous Spell Card
Dark Contract with Errors,Trap Card,Continuous Trap Card
Dark Coffin,Trap Card,Normal Trap Card
Dark City,Spell Card,Field Spell Card
Dark Cavalry,Monster Card,DARK
Dark Catapulter,Monster Card,EARTH
Dark Cat with White Tail,Monster Card,EARTH
Dark Calling,Spell Card,Normal Spell Card
Dark Burning Magic,Spell Card,Quick-Play Spell Card
Dark Burning Attack,Spell Card,Normal Spell Card
Dark Bug,Monster Card,DARK
Dark Bribe,Trap Card,Counter Trap Card
Dark Desertapir,Monster Card,EARTH
Dark Blade the Dragon Knight,Monster Card,DARK
Dark Driceratops,Monster Card,EARTH
The Dark Door,Spell Card,Continuous Spell Card
Dark Factory of More Production,Trap Card,Continuous Trap Card
Dark Flare Knight,Monster Card,DARK
Dark Doriado,Monster Card,DARK
Dark Dragon Ritual,Spell Card,Ritual Spell Card
Dark Honest,Monster Card,DARK
Dark Hole,Spell Card,Normal Spell Card
Dark King of the Abyss,Monster Card,DARK
Dark Lucius LV4,Monster Card,EARTH
Dark Jeroid,Monster Card,DARK
Dark Infant @Ignister,Monster Card,DARK
Dark Magic Curtain,Spell Card,Normal Spell Card
Dark Magic Expanded,Spell Card,Quick-Play Spell Card
Dark Magician Girl,Monster Card,DARK
Dark Magician (Arkana),Monster Card,DARK
Defrag Dragon,Monster Card,DARK
Degen-Force,Trap Card,Normal Trap Card
Defensive Tactics,Trap Card,Normal Trap Card
Defense Zone,Spell Card,Field Spell Card
Defense Draw,Trap Card,Normal Trap Card
Defenders Intersect,Trap Card,Normal Trap Card
"Defender, the Magical Knight",Monster Card,LIGHT
Defender of the Labyrinth,Monster Card,EARTH
Defender of the Ice Barrier,Monster Card,WATER
Defender of Nephthys,Monster Card,WIND
Defect Compiler,Monster Card,LIGHT
Defcon Bird,Monster Card,WIND
Deepsea Warrior,Monster Card,WATER
Deepsea Shark,Monster Card,WATER
Deepsea Macrotrema,Monster Card,WATER
Deep-Space Cruiser IX,Monster Card,LIGHT
Deep-Eyes White Dragon,Monster Card,LIGHT
Deep Sweeper,Monster Card,WATER
Deep Sea Prima Donna,Monster Card,WATER
Deep Sea Minstrel,Monster Card,WATER
Degenerate Circuit,Spell Card,Continuous Spell Card
Deep Sea Diva,Monster Card,WATER
Deep Sea Artisan,Monster Card,WATER
Deep Sea Sentry,Monster Card,WATER
Delta Flyer,Monster Card,WIND
Depth Amulet,Trap Card,Continuous Trap Card
Depth Shark,Monster Card,WATER
Denko Sekka,Monster Card,LIGHT
"Denglong, First of the Yang Zing",Monster Card,LIGHT
"Demise, Supreme King of Armageddon",Monster Card,DARK
"Demise, King of Armageddon",Monster Card,DARK
Demotion,Spell Card,Equip Spell Card
Des Frog,Monster Card,WATER
Deskbot Base,Spell Card,Field Spell Card
Deskbot 009,Monster Card,EARTH
Deskbot 008,Monster Card,EARTH
Deskbot 006,Monster Card,EARTH
Deskbot 005,Monster Card,EARTH
Deskbot 007,Monster Card,EARTH
Deskbot 004,Monster Card,EARTH
"Despia, Theater of the Branded",Spell Card,Field Spell Card
Dinomist Pteran,Monster Card,WATER
Dinomist Rush,Trap Card,Normal Trap Card
Dinomist Rex,Monster Card,WATER
Dinomist Eruption,Trap Card,Normal Trap Card
Dinomist Charge,Spell Card,Continuous Spell Card
Dinomist Plesios,Monster Card,WATER
Dinomist Ceratops,Monster Card,WATER
Dinomist Brachion,Monster Card,WATER
"Dingirsu, the Orcust of the Evening Star",Monster Card,DARK
Dinomist Ankylos,Monster Card,WATER
"Dinomight Knight, the True Dracofighter",Monster Card,WATER
Dinomic Powerload,Spell Card,Field Spell Card
Dino-Sewing,Monster Card,EARTH
Dino Destruction,,
Dimer Synthesis,Spell Card,Normal Spell Card
Dimensionhole,Spell Card,Normal Spell Card
Dimensional Prison,Trap Card,Normal Trap Card
Dimensional Inversion,Trap Card,Normal Trap Card
Dimensional Fissure,Spell Card,Continuous Spell Card
Dimensional Barrier,Trap Card,Normal Trap Card
Dimensional Alchemist,Monster Card,LIGHT
Dimension Wanderer,Monster Card,LIGHT
Dinomist Spinos,Monster Card,WATER
Dinowrestler Iguanodraka,Monster Card,EARTH
Dinowrestler Giga Spinosavate,Monster Card,EARTH
Dinowrestler Eskrimamenchi,Monster Card,EARTH
Dinowrestler Coelasilat,Monster Card,EARTH
Dinowrestler Chimera T Wrextle,Monster Card,EARTH
Dinowrestler Capoeiraptor,Monster Card,EARTH
Dinowrestler Capaptera,Monster Card,WIND
Disciple of the Forbidden Spell,Monster Card,LIGHT
Divine Dragon Knight Felgrand,Monster Card,LIGHT
Divine Dragon - Excelion,Monster Card,LIGHT
Divine Dragon Apocralyph,Monster Card,DARK
Divine Arsenal AA-ZEUS - Sky Thunder,Monster Card,LIGHT
Disturbance Strategy,Trap Card,Normal Trap Card
Dissolverock,Monster Card,EARTH
Divine Dragon Aquabizarre,Monster Card,WATER
Divine Sword - Phoenix Blade,Spell Card,Equip Spell Card
Doctor D,Spell Card,Normal Spell Card
Dodger Dragon,Monster Card,WIND
DNA Surgery,Trap Card,Continuous Trap Card
Doctor Cranium,Monster Card,EARTH
Doble Passe,Trap Card,Normal Trap Card
Do a Barrel Roll,Trap Card,Counter Trap Card
DNA Transplant,Trap Card,Continuous Trap Card
Dododo Warrior,Monster Card,EARTH
Doggy Diver,Monster Card,DARK
"Dogmatika Adin, the Enlightened",Monster Card,LIGHT
"Dogmatika Ecclesia, the Virtuous",Monster Card,LIGHT
Dogmatika Ashiyan,Monster Card,LIGHT
Dododo Witch,Monster Card,EARTH
Dodododraw,Spell Card,Normal Spell Card
Dodododwarf Gogogoglove,Monster Card,EARTH
Dokuroyaiba,Monster Card,FIRE
Doombearer Psychopompos,Monster Card,EARTH
Doom Donuts,Monster Card,DARK
Doom Dozer,Monster Card,EARTH
Doom Shaman,Monster Card,DARK
Doom Virus Dragon,Monster Card,DARK
Doomcaliber Knight,Monster Card,DARK
Doomdog Octhros,Monster Card,DARK
Double Defender,Spell Card,Continuous Spell Card
Dragon Queen of Tragic Endings,Monster Card,DARK
Dragon Seeker,Monster Card,DARK
Dragon Revival Rhapsody,Spell Card,Normal Spell Card
Dragon Ravine,Spell Card,Field Spell Card
Dragon Piper,Monster Card,FIRE
Dragon Mastery,Spell Card,Continuous Spell Card
Dragon Master Knight,Monster Card,LIGHT
Dragon Manipulator,Monster Card,EARTH
Dragon Lord Token,Monster Card,LIGHT
Dragon Laser,Spell Card,Quick-Play Spell Card
Dragon Knight of Creation,Monster Card,LIGHT
Dragon Knight Draco-Equiste,Monster Card,WIND
Dragon Ice,Monster Card,WATER
Dragon Horn Hunter,Monster Card,DARK
The Dragon Dwelling in the Deep,Monster Card,WATER
The Dragon Dwelling in the Cave,Monster Card,WIND
Dragon Dowser,Monster Card,EARTH
Dragon Core Hexer,Monster Card,DARK
Dragon Capture Jar,Trap Card,Continuous Trap Card
Dragon Caller,,
